date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:24	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Dec%202020%2009:31:23%20GMT	http://dinsonkadudhus.com/robots.txt		(from )
15:01:25	113295/113295	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Dec%202020%2009:31:23%20GMT	http://dinsonkadudhus.com/demo/wordpress-responsive-crossword-puzzle-game/	C:/My%20Web%20Sites/viit/dinsonkadudhus.com/demo/wordpress-responsive-crossword-puzzle-game/index.html	(from )
15:01:26	1102/1102	---M--	200	added ('OK')	text/css	etag:%22e3834-44e-57b385dd24680%22	http://dinsonkadudhus.com/demo/wp-includes/css/dist/block-library/theme.min.css?ver=5.0.11	C:/My%20Web%20Sites/viit/dinsonkadudhus.com/demo/wp-includes/css/dist/block-library/theme.min3a40.css	(from http://dinsonkadudhus.com/demo/wordpress-responsive-crossword-puzzle-game/)
15:01:26	2900/2900	---M--	200	added ('OK')	text/css	etag:%22e347e-b54-58263aa0e7280%22	http://dinsonkadudhus.com/demo/wp-content/plugins/bloodbank/css/bloodbank.css?ver=5.0.11	C:/My%20Web%20Sites/viit/dinsonkadudhus.com/demo/wp-content/plugins/bloodbank/css/bloodbank3a40.css	(from http://dinsonkadudhus.com/demo/wordpress-responsive-crossword-puzzle-game/)
15:01:26	1762/1762	---M--	200	added ('OK')	text/css	etag:%22e34ab-6e2-5a2879171eb00%22	http://dinsonkadudhus.com/demo/wp-content/plugins/covid_19_info_bar/css/frontend.css?ver=5.0.11	C:/My%20Web%20Sites/viit/dinsonkadudhus.com/demo/wp-content/plugins/covid_19_info_bar/css/frontend3a40.css	(from http://dinsonkadudhus.com/demo/wordpress-responsive-crossword-puzzle-game/)
15:01:26	25658/25658	---M--	200	added ('OK')	text/css	etag:%22e3830-643a-57ea79a01ca00%22	http://dinsonkadudhus.com/demo/wp-includes/css/dist/block-library/style.min.css?ver=5.0.11	C:/My%20Web%20Sites/viit/dinsonkadudhus.com/demo/wp-includes/css/dist/block-library/style.min3a40.css	(from http://dinsonkadudhus.com/demo/wordpress-responsive-crossword-puzzle-game/)
15:01:26	11460/11460	---M--	200	added ('OK')	text/css	etag:%22e34c0-2cc4-582629ebac740%22	http://dinsonkadudhus.com/demo/wp-content/plugins/crossword/css/crossword-frontend.css?ver=5.0.11	C:/My%20Web%20Sites/viit/dinsonkadudhus.com/demo/wp-content/plugins/crossword/css/crossword-frontend3a40.css	(from http://dinsonkadudhus.com/demo/wordpress-responsive-crossword-puzzle-game/)
15:01:27	4489/4489	---M--	200	added ('OK')	text/css	etag:%22e34e0-1189-582637c84bb80%22	http://dinsonkadudhus.com/demo/wp-content/plugins/google_mapped_testimonial/css/style.css?ver=5.0.11	C:/My%20Web%20Sites/viit/dinsonkadudhus.com/demo/wp-content/plugins/google_mapped_testimonial/css/style3a40.css	(from http://dinsonkadudhus.com/demo/wordpress-responsive-crossword-puzzle-game/)
15:01:27	16888/16888	---M--	200	added ('OK')	text/css	etag:%22e3510-41f8-582641e1b4f40%22	http://dinsonkadudhus.com/demo/wp-content/plugins/snakeladder/css/style.css?ver=5.0.11	C:/My%20Web%20Sites/viit/dinsonkadudhus.com/demo/wp-content/plugins/snakeladder/css/style3a40.css	(from http://dinsonkadudhus.com/demo/wordpress-responsive-crossword-puzzle-game/)
15:01:28	114031/114031	---M--	200	added ('OK')	text/css	etag:%22e3559-1bd6f-57ee2dc393a80%22	http://dinsonkadudhus.com/demo/wp-content/themes/twentynineteen/style.css?ver=1.2	C:/My%20Web%20Sites/viit/dinsonkadudhus.com/demo/wp-content/themes/twentynineteen/style62ea.css	(from http://dinsonkadudhus.com/demo/wordpress-responsive-crossword-puzzle-game/)
15:01:29	3969/3969	---M--	200	added ('OK')	text/css	etag:%22e354e-f81-57b0b306f23c0%22	http://dinsonkadudhus.com/demo/wp-content/themes/twentynineteen/print.css?ver=1.2	C:/My%20Web%20Sites/viit/dinsonkadudhus.com/demo/wp-content/themes/twentynineteen/print62ea.css	(from http://dinsonkadudhus.com/demo/wordpress-responsive-crossword-puzzle-game/)
15:01:30	22/22	---M--	200	added ('OK')	application/javascript	etag:%22e3488-16-58263aa0e7280%22	http://dinsonkadudhus.com/demo/wp-content/plugins/bloodbank/js/bloodbank.js?ver=5.0.11	C:/My%20Web%20Sites/viit/dinsonkadudhus.com/demo/wp-content/plugins/bloodbank/js/bloodbank3a40.js	(from http://dinsonkadudhus.com/demo/wordpress-responsive-crossword-puzzle-game/)
15:01:30	1191/1191	---M--	200	added ('OK')	application/javascript	etag:%22e34b2-4a7-5a28791be3640%22	http://dinsonkadudhus.com/demo/wp-content/plugins/covid_19_info_bar/js/frontend.js?ver=5.0.11	C:/My%20Web%20Sites/viit/dinsonkadudhus.com/demo/wp-content/plugins/covid_19_info_bar/js/frontend3a40.js	(from http://dinsonkadudhus.com/demo/wordpress-responsive-crossword-puzzle-game/)
